Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Was Played,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Den Win,0,0,2,2,1,2,2,2,2,1,1,2,2,2,0,0,3,3,2,1,1,2,1,2,0,1,3,3,2,2
Den Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Min Win,0,0,1,0,1,1,1,2,0,0,0,0,1,1,0,0,0,1,1,3,1,0,0,1,2,1,2,0,2,1
Min Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Okc Win,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,2,0,1,0,0,1,0,1,0,1,2,1,1,2
Okc Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3
Por Win,1,1,1,2,2,1,2,2,1,0,1,1,1,2,1,1,2,2,0,1,2,0,2,0,3,2,2,1,3,2
Por Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3
Uta Win,2,1,1,1,2,2,2,2,2,2,2,2,1,2,0,2,0,3,2,0,1,2,2,0,3,2,3,3,2,3
Uta Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3
Gol Win,0,0,1,1,1,2,2,2,1,1,0,1,1,1,0,2,2,3,1,2,0,1,1,1,2,1,3,2,2,2
Gol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
Lac Win,0,0,1,1,2,2,2,2,2,1,1,2,2,1,1,1,3,2,3,1,2,0,3,2,2,1,2,2,1,2
Lac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3
Lal Win,1,1,1,0,1,2,2,1,2,1,1,2,0,2,0,2,3,3,1,1,2,0,0,1,1,1,3,3,2,2
Lal Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3
Pho Win,1,0,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,3,3,2,1,2,0,2,3,3,2,2,2
Pho Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3
Sac Win,2,0,1,0,1,1,2,1,2,0,1,0,0,1,1,3,1,3,0,0,1,1,2,1,0,3,1,0,1,1
Sac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3
Dal Win,2,2,1,0,1,0,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,0,0,0,1,2,2,2
Dal Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3
Hou Win,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,1,1,1,0,0,1,0,0,2,2,0,1,1,1
Hou Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
Mem Win,1,2,0,2,1,2,1,1,0,1,1,2,2,1,2,0,3,2,2,0,1,1,0,1,3,1,2,0,1,2
Mem Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3
Nol Win,2,0,0,1,2,0,2,1,1,1,0,1,0,1,1,1,1,2,0,1,1,2,1,1,2,1,2,2,0,1
Nol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3
San Win,1,0,1,0,1,2,1,2,1,1,1,1,0,2,2,1,2,1,1,0,1,1,1,1,2,1,2,1,2,0
San Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
