Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Bos Win,0,0,1,0,3,1,1,1,2,2,1,2,1,3,2,2,2,1,1,0,2,2,1,1,0,0,2,1,0,1
Bos Played,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bro Win,3,0,3,1,1,2,1,2,3,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,0,2,0,2,2
Bro Played,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nyk Win,2,0,0,0,2,2,2,3,2,2,3,2,0,2,3,0,1,1,1,1,1,1,1,0,1,1,2,2,2,1
Nyk Played,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Phi Win,3,2,3,0,2,3,1,2,2,0,2,3,2,3,3,0,2,2,0,1,1,1,2,0,2,2,2,0,1,2
Phi Played,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tor Win,0,2,1,1,0,0,2,0,1,2,0,2,1,3,2,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1
Tor Played,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chi Win,2,1,1,0,3,0,1,3,2,1,0,3,1,1,2,0,1,1,1,0,0,0,0,0,1,2,2,0,2,0
Chi Played,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cle Win,2,2,1,2,1,2,0,2,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1
Cle Played,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Det Win,2,1,0,1,3,0,1,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,1,1,1,0,1,1,1,0
Det Played,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ind Win,1,0,1,1,2,1,3,3,0,0,2,1,2,3,0,0,2,2,1,0,1,0,0,1,0,1,2,2,1,1
Ind Played,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mil Win,1,2,1,3,1,2,3,3,3,0,2,1,2,3,3,1,2,1,2,0,1,1,1,0,2,1,1,1,1,1
Mil Played,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Atl Win,2,1,0,1,3,3,1,2,1,1,0,1,2,3,3,1,2,1,1,0,2,1,1,1,1,0,2,1,2,1
Atl Played,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cha Win,1,1,1,0,1,0,1,3,2,2,2,0,2,2,2,0,2,1,1,0,1,0,0,1,2,1,2,0,1,1
Cha Played,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mia Win,2,1,3,1,2,2,3,2,1,1,1,1,0,2,2,0,1,2,1,1,1,0,2,0,2,0,2,0,2,2
Mia Played,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Orl Win,0,1,1,0,0,2,3,2,0,0,0,1,1,0,2,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
Orl Played,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Was Win,1,2,0,0,1,1,3,2,3,0,0,1,1,1,0,2,2,2,1,2,2,1,2,1,1,0,1,0,1,0
