Team,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,Neutral,OT,LAST10,STREAK
Cle,57,25,0.695,--,35-17,8-8,33-8,24-17,,3-3,6-4,L 1
Tor,56,26,0.683,1,39-13,14-2,32-9,24-17,,3-1,7-3,W 4
Mia,48,34,0.585,9,31-21,10-6,28-13,20-21,,3-3,6-4,L 1
Atl,48,34,0.585,9,29-23,8-8,27-14,21-20,,0-5,6-4,L 2
Bos,48,34,0.585,9,31-21,10-6,28-13,20-21,,1-2,6-4,W 1
Cha,48,34,0.585,9,33-19,8-8,30-11,18-23,,5-0,7-3,W 2
Ind,45,37,0.549,12,30-22,8-8,26-15,19-22,,1-7,7-3,W 3
Det,44,38,0.537,13,29-23,10-6,26-15,18-23,,4-1,6-4,W 1
Chi,42,40,0.512,15,25-27,10-6,26-15,16-25,,2-4,6-4,W 3
Was,41,41,0.5,16,30-22,10-6,22-19,19-22,,0-2,6-4,W 3
Orl,35,47,0.427,22,21-31,4-12,23-18,12-29,,3-5,6-4,L 1
Mil,33,49,0.402,24,21-31,4-12,23-18,10-31,,4-0,3-7,L 2
Nyk,32,50,0.39,25,21-31,8-8,18-23,14-27,,2-2,3-7,L 2
Bro,21,61,0.256,36,12-40,6-10,14-27,7-34,,1-2,0-10,L 10
Phi,10,72,0.122,47,3-49,2-14,7-34,3-38,,0-4,1-9,L 4
Gol,73,9,0.89,--,46-6,15-1,39-2,34-7,,6-1,8-2,W 4
San,67,15,0.817,6,43-9,14-2,40-1,27-14,,1-0,6-4,W 2
Okc,55,27,0.671,18,37-15,13-3,32-9,23-18,,3-2,5-5,L 1
Lac,53,29,0.646,20,31-21,9-7,29-12,24-17,,5-1,8-2,L 1
Por,44,38,0.537,29,29-23,11-5,28-13,16-25,,2-3,7-3,W 1
Dal,42,40,0.512,31,27-25,7-9,23-18,19-22,,8-4,7-3,L 1
Mem,42,40,0.512,31,25-27,7-9,26-15,16-25,,3-3,1-9,L 4
Hou,41,41,0.5,32,28-24,8-8,23-18,18-23,,4-2,6-4,W 3
Uta,40,42,0.488,33,24-28,8-8,24-17,16-25,,5-5,5-5,L 2
Sac,33,49,0.402,40,19-33,8-8,18-23,15-26,,0-3,5-5,L 1
Den,33,49,0.402,40,18-34,4-12,18-23,15-26,,2-4,3-7,L 2
Nor,30,52,0.366,43,20-32,4-12,21-20,9-32,,1-3,4-6,L 3
Min,29,53,0.354,44,18-34,4-12,14-27,15-26,,4-3,5-5,W 1
Pho,23,59,0.28,50,17-35,6-10,14-27,9-32,,0-1,3-7,W 1
Lal,17,65,0.207,56,8-44,2-14,12-29,5-36,,1-1,2-8,W 1
