Team,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,Neutral,OT,LAST10,STREAK
Chi,50,16,0.758,--,38-10,13-1,26-7,24-9,,3-1,7-3,W 3
Mia,46,20,0.697,4,35-13,9-5,28-5,18-15,,2-4,6-4,L 2
Ind,42,24,0.636,8,29-19,9-4,23-10,19-14,,4-2,8-2,L 1
Bos,39,27,0.591,11,32-16,8-6,24-9,15-18,,3-1,7-3,W 2
Atl,40,26,0.606,10,31-17,11-3,23-10,17-16,,5-3,7-3,W 2
Orl,37,29,0.561,13,30-18,8-7,21-12,16-17,,1-4,4-6,L 1
Nyk,36,30,0.545,14,28-20,8-6,22-11,14-19,,1-2,7-3,W 3
Phi,35,31,0.53,15,28-20,7-6,19-14,16-17,,1-2,6-4,L 1
Mil,31,35,0.47,19,24-24,7-8,17-16,14-19,,1-0,3-7,L 2
Det,25,41,0.379,25,20-28,4-11,18-15,7-26,,2-3,4-6,W 1
Tor,23,43,0.348,27,15-33,7-8,13-20,10-23,,2-2,3-7,W 1
Njn,22,44,0.333,28,16-32,5-9,9-24,13-20,,2-0,3-7,L 6
Cle,21,45,0.318,29,13-35,3-12,11-22,10-23,,0-5,2-8,L 4
Was,20,46,0.303,30,16-32,7-7,11-22,9-24,,1-0,8-2,W 6
Cha,7,59,0.106,43,5-43,1-14,4-29,3-30,,0-2,0-10,L 23
San,50,16,0.758,--,35-13,12-4,28-5,22-11,,3-1,10-0,W 10
Okc,47,19,0.712,3,34-14,10-3,26-7,21-12,,3-1,6-4,L 1
Lal,41,25,0.621,9,32-16,9-5,26-7,15-18,,6-1,6-4,L 1
Mem,41,25,0.621,9,26-22,7-8,26-7,15-18,,1-2,8-2,W 6
Lac,40,26,0.606,10,29-19,7-7,24-9,16-17,,4-1,6-4,L 2
Den,38,28,0.576,12,22-26,6-7,20-13,18-15,,5-2,8-2,W 4
Dal,36,30,0.545,14,26-22,8-5,23-10,13-20,,3-3,5-5,L 2
Uta,36,30,0.545,14,25-23,9-4,25-8,11-22,,4-3,7-3,W 5
Hou,34,32,0.515,16,23-25,6-8,22-11,12-21,,3-6,3-7,W 1
Pho,33,33,0.5,17,23-25,9-5,19-14,14-19,,0-0,4-6,L 3
Por,28,38,0.424,22,20-28,4-10,20-13,8-25,,1-3,1-9,L 7
Min,26,40,0.394,24,19-29,4-9,13-20,13-20,,0-3,1-9,L 2
Gol,23,43,0.348,27,16-32,7-8,12-21,11-22,,1-2,1-9,L 2
Sac,22,44,0.333,28,16-32,3-10,16-17,6-27,,1-2,3-7,W 1
Nor,21,45,0.318,29,14-34,3-11,11-22,10-23,,1-3,6-4,L 1
