Team,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,Neutral,OT,LAST10,STREAK
Mia,66,16,0.805,--,41-11,15-1,37-4,29-12,,5-1,9-1,W 8
Nyk,54,28,0.659,12,37-15,10-6,31-10,23-18,,0-2,8-2,W 1
Ind,49,32,0.605,16.5,31-20,13-3,30-11,19-21,,2-3,5-5,L 3
Bro,49,33,0.598,17,36-16,11-5,26-15,23-18,,5-0,7-3,W 2
Chi,45,37,0.549,21,34-18,9-7,24-17,21-20,,4-2,5-5,W 2
Atl,44,38,0.537,22,29-23,11-5,25-16,19-22,,4-1,4-6,L 2
Bos,41,40,0.506,24.5,27-24,7-9,27-13,14-27,,7-4,4-6,L 1
Mil,38,44,0.463,28,24-28,7-9,21-20,17-24,,3-3,3-7,W 1
Phi,34,48,0.415,32,22-30,7-9,23-18,11-30,,2-1,5-5,W 1
Tor,34,48,0.415,32,22-30,5-11,21-20,13-28,,2-7,7-3,W 5
Det,29,53,0.354,37,25-27,8-8,18-23,11-30,,0-3,5-5,L 1
Was,29,53,0.354,37,15-37,5-11,22-19,7-34,,0-5,3-7,L 6
Cle,24,58,0.293,42,18-34,3-13,14-27,10-31,,0-1,2-8,L 6
Cha,21,61,0.256,45,18-34,6-10,15-26,6-35,,3-1,4-6,W 3
Orl,20,62,0.244,46,10-42,3-13,12-29,8-33,,1-3,2-8,L 3
Okc,60,22,0.732,--,39-13,10-6,34-7,26-15,,4-2,7-3,L 1
San,58,24,0.707,2,33-19,12-4,35-6,23-18,,4-3,3-7,L 3
Den,57,25,0.695,3,38-14,11-5,38-3,19-22,,4-2,8-2,W 3
Lac,56,26,0.683,4,35-17,11-5,32-9,24-17,,0-2,7-3,W 7
Mem,56,26,0.683,4,34-18,10-6,32-9,24-17,,4-1,8-2,W 2
Gol,47,35,0.573,13,28-24,9-7,28-13,19-22,,2-2,6-4,W 2
Lal,45,37,0.549,15,28-24,8-8,29-12,16-25,,3-0,8-2,W 5
Hou,45,37,0.549,15,24-28,6-10,29-12,16-25,,0-4,6-4,L 2
Uta,43,39,0.524,17,26-26,9-7,30-11,13-28,,3-3,7-3,L 1
Dal,41,41,0.5,19,24-28,7-9,24-17,17-24,,3-8,6-4,W 1
Por,33,49,0.402,27,18-34,6-10,22-19,11-30,,5-1,0-10,L 13
Min,31,51,0.378,29,17-35,4-12,20-21,11-30,,1-1,5-5,W 1
Sac,28,54,0.341,32,14-38,7-9,20-21,8-33,,0-4,2-8,L 4
Nor,27,55,0.329,33,15-37,5-11,16-25,11-30,,1-3,2-8,L 5
Pho,25,57,0.305,35,17-35,5-11,17-24,8-33,,3-2,2-8,L 1
