Team,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,Neutral,OT,LAST10,STREAK
Atl,60,22,0.732,--,38-14,12-4,35-6,25-16,,0-1,5-5,L 3
Cle,53,29,0.646,7,35-17,11-5,31-10,22-19,,3-1,7-3,W 2
Chi,50,32,0.61,10,33-19,8-8,27-14,23-18,,3-3,7-3,W 4
Tor,49,33,0.598,11,33-19,11-5,27-14,22-19,,4-3,7-3,W 1
Was,46,36,0.561,14,30-22,10-6,29-12,17-24,,4-4,6-4,L 2
Mil,41,41,0.5,19,30-22,7-9,23-18,18-23,,3-3,5-5,L 1
Bos,40,42,0.488,20,28-24,12-4,21-20,19-22,,2-5,8-2,W 6
Bro,38,44,0.463,22,24-28,10-6,19-22,19-22,,2-4,6-4,W 1
Ind,38,44,0.463,22,28-24,8-8,23-18,15-26,,3-3,7-3,L 1
Mia,37,45,0.451,23,25-27,6-10,20-21,17-24,,2-0,4-6,W 2
Cha,33,49,0.402,27,25-27,8-8,19-22,14-27,,3-3,2-8,L 6
Det,32,50,0.39,28,23-29,6-10,18-23,14-27,,2-3,4-6,W 1
Orl,25,57,0.305,35,15-37,4-12,13-28,12-29,,2-1,3-7,L 4
Phi,18,64,0.22,42,12-40,2-14,12-29,6-35,,1-4,0-10,L 10
Nyk,17,65,0.207,43,11-41,5-11,10-31,7-34,,2-4,3-7,L 1
Gol,67,15,0.817,--,42-10,13-3,39-2,28-13,,1-1,8-2,W 4
Hou,56,26,0.683,11,33-19,8-8,30-11,26-15,,5-0,7-3,W 3
Lac,56,26,0.683,11,37-15,12-4,30-11,26-15,,1-1,9-1,W 7
Por,51,31,0.622,16,31-21,11-5,32-9,19-22,,4-1,4-6,L 4
Mem,55,27,0.671,12,35-17,9-7,31-10,24-17,,4-1,5-5,W 1
San,55,27,0.671,12,32-20,8-8,33-8,22-19,,1-6,9-1,L 1
Dal,50,32,0.61,17,29-23,7-9,27-14,23-18,,6-0,5-5,W 1
Nor,45,37,0.549,22,29-23,8-8,28-13,17-24,,0-3,7-3,W 2
Okc,45,37,0.549,22,25-27,10-6,29-12,16-25,,3-3,4-6,W 2
Pho,39,43,0.476,28,21-31,6-10,22-19,17-24,,2-4,1-9,L 5
Uta,38,44,0.463,29,23-29,9-7,21-20,17-24,,0-1,7-3,L 1
Den,30,52,0.366,37,19-33,6-10,19-22,11-30,,2-4,3-7,L 2
Sac,29,53,0.354,38,18-34,7-9,18-23,11-30,,3-3,3-7,W 2
Lal,21,61,0.256,46,9-43,2-14,12-29,9-32,,6-3,2-8,L 3
Min,16,66,0.195,51,7-45,4-12,9-32,7-34,,2-3,0-10,L 12
